article_id,company_id,published_date,year,quarter,month,arr_usd,raw_revenue_string
ART0232,Elastic,"September 04, 2023",2023,3,9,1200000000.0,$1.200B
ART0233,Amazon Web Services,2022-11-22,2022,4,11,80999999999.0,"€73,636,363,636"
ART0234,Tesla,28-02-2023,2023,1,2,82000000000.0,"£64,566,929,134"
ART0236,NVIDIA,25 Apr 2022,2022,2,4,17800000000.0,$16910.0M - $18690.0M
ART0237,Confluent,"May 07, 2020",2020,2,5,284999999.0,"€259,090,909"
ART0239,Palantir,06-08-2022,2022,2,6,1549999999.0,"€1,409,090,909"
ART0240,Uber,10 Apr 2020,2020,2,4,10200000000.0,"£8,031,496,063"
ART0241,Meta AI,07/27/2020,2020,3,7,165000000.0,$165.0M
ART0242,Confluent,2021-06-14,2021,2,6,455000000.0,$455.0M
ART0243,Confluent,"March 19, 2022",2022,1,3,600000000.0,$600.0M
ART0246,Amazon Web Services,2021-10-15T00:00:00Z,2021,4,10,65000000000.0,"¥9,750,000,000,000"
ART0247,Amazon Web Services,22 May 2021,2021,2,5,58000000000.0,$58000.0 million
ART0249,Anthropic,05/17/2023,2023,2,5,380000000.0,$380.0 million
ART0250,Anthropic,2020-10-29T00:00:00Z,2020,4,10,12000000.0,"€10,909,091"
ART0251,Stripe,10/22/2021,2021,4,10,1550000000.0,$1.550B
ART0252,Snowflake,11-11-2023,2023,4,11,2800000000.0,$2800.0 million
ART0253,Scale AI,"August 01, 2020",2020,3,8,135000000.0,"€122,727,273"
ART0254,Scale AI,"November 18, 2021",2021,4,11,340000000.0,$340.0M
ART0257,Stripe,"June 10, 2023",2023,2,6,2600000000.0,"$2,600,000,000"
ART0258,SpaceX,08 Feb 2023,2023,1,2,7000000000.0,$7.000B
ART0259,Microsoft,2022-01-08,2022,1,1,61000000000.0,"$61,000,000,000"
ART0261,Anthropic,"June 19, 2022",2022,2,6,130000000.0,$130.0M
ART0262,Confluent,2023-02-07,2023,1,2,790000000.0,"¥118,500,000,000"
ART0263,MongoDB,2022-11-24T00:00:00Z,2022,4,11,1380000000.0,$1.380B
ART0264,Google DeepMind,06/10/2022,2022,2,6,610000000.0,"£480,314,961"
ART0268,Snowflake,03 Oct 2022,2022,4,10,2180000000.0,$2.180 billion
ART0269,Tesla,"March 08, 2021",2021,1,3,31000000000.0,$31.000B
ART0270,MongoDB,02/29/2020,2020,1,2,500000000.0,"¥75,000,000,000"
ART0272,Amazon Web Services,2023-11-11,2023,4,11,95000000000.0,$95.000B
ART0273,Scale AI,2022-11-17,2022,4,11,570000000.0,$570.0M
ART0274,Scale AI,"May 17, 2022",2022,2,5,430000000.0,$408.5M - $451.5M
ART0275,MongoDB,2022-02-05T00:00:00Z,2022,1,2,1080000000.0,"€981,818,182"
ART0277,Confluent,03/17/2023,2023,1,3,790000000.0,$750.5M - $829.5M
ART0278,Amazon Web Services,"July 18, 2020",2020,3,7,45500000000.0,$45.500B
ART0285,Amazon Web Services,02/09/2020,2020,1,2,38000000000.0,$38.000B
ART0286,Uber,2021-06-07T00:00:00Z,2021,2,6,14500000000.0,"$14,500,000,000"
ART0290,Google DeepMind,21 Mar 2023,2023,1,3,830000000.0,$0.830 billion
ART0292,Microsoft,08/18/2023,2023,3,8,75799999999.0,"€68,909,090,909"
ART0293,Databricks,"November 13, 2023",2023,4,11,2400000000.0,"$2,400,000,000"
ART0294,Cloudflare,"October 21, 2023",2023,4,10,1350000000.0,$1350.0 million
ART0295,Palantir,09-05-2020,2020,3,9,1080000000.0,"£850,393,701"
ART0299,DataRobot,29-07-2023,2023,3,7,355000000.0,$355.0M
ART0300,Cloudflare,07-09-2023,2023,3,7,1259999999.0,"€1,145,454,545"
ART0301,Meta AI,"December 02, 2020",2020,4,12,189999999.0,"£149,606,299"
ART0303,Elastic,"April 13, 2023",2023,2,4,1160000000.0,$1.160B
ART0304,MongoDB,2022-05-07T00:00:00Z,2022,2,5,1180000000.0,"¥177,000,000,000"
ART0305,Snowflake,26-01-2023,2023,1,1,2349999999.0,"€2,136,363,636"
ART0306,MongoDB,22 Nov 2023,2023,4,11,1700000000.0,$1615.0M - $1785.0M
ART0307,Anthropic,06/30/2021,2021,2,6,28000000.0,$28.0M
ART0308,Meta AI,15 Oct 2023,2023,4,10,1500000000.0,"$1,500,000,000"
ART0310,MongoDB,2022-02-11,2022,1,2,1080000000.0,1080.0M USD
ART0311,Anthropic,2021-10-22T00:00:00Z,2021,4,10,70000000.0,$70.0M
ART0312,MongoDB,10/31/2022,2022,4,10,1380000000.0,$1.380B
ART0313,Snowflake,2023-06-20T00:00:00Z,2023,2,6,2520000000.0,"€2,290,909,091"
ART0314,Anthropic,"October 19, 2021",2021,4,10,70000000.0,$66.5M - $73.5M
ART0315,Scale AI,2021-10-18T00:00:00Z,2021,4,10,340000000.0,$340.0M
ART0316,Meta AI,06 Jan 2023,2023,1,1,1200000000.0,"$1,200,000,000"
ART0317,Google DeepMind,30-12-2020,2020,4,12,175000000.0,"£137,795,276"
ART0318,Stripe,08 Mar 2022,2022,1,3,1700000000.0,$1.700B
ART0320,Elastic,07/22/2023,2023,3,7,1200000000.0,$1.200B
ART0321,Elastic,23-06-2020,2020,2,6,660000000.0,$660.0 million
ART0322,Meta AI,2023-10-06T00:00:00Z,2023,4,10,1500000000.0,$1.500 billion
ART0324,Confluent,2023-03-04T00:00:00Z,2023,1,3,790000000.0,$790.0M
ART0326,Google DeepMind,2020-10-13T00:00:00Z,2020,4,10,175000000.0,"$175,000,000"
ART0327,Confluent,2022-04-09T00:00:00Z,2022,2,4,654999999.0,"€595,454,545"
ART0328,Snowflake,2022-08-09T00:00:00Z,2022,3,8,2050000000.0,2050.0M USD
ART0329,Palantir,2021-01-01T00:00:00Z,2021,1,1,1180000000.0,"¥177,000,000,000"
ART0330,Anthropic,2021-02-27T00:00:00Z,2021,1,2,18000000.0,"$18,000,000"
ART0331,Scale AI,2021-06-23T00:00:00Z,2021,2,6,260000000.0,$247.0M - $273.0M
ART0332,MongoDB,23-12-2021,2021,4,12,990000000.0,"¥148,500,000,000"
ART0333,Scale AI,03/09/2021,2021,1,3,210000000.0,"£165,354,331"
ART0334,Cloudflare,04/24/2023,2023,2,4,1180000000.0,$1180.0 million
ART0335,Confluent,04/24/2020,2020,2,4,285000000.0,$0.285 billion
ART0336,Cloudflare,"March 25, 2021",2021,1,3,560000000.0,$560.0 million
ART0337,DataRobot,05/20/2020,2020,2,5,150000000.0,$142.5M - $157.5M
ART0338,DataRobot,"December 29, 2020",2020,4,12,190000000.0,"¥28,500,000,000"
ART0340,Meta AI,01-10-2020,2020,1,1,130000000.0,"$130,000,000"
ART0341,MongoDB,2022-11-30,2022,4,11,1380000000.0,$1.380B
ART0343,Snowflake,06 Dec 2021,2021,4,12,1530000000.0,$1.530B
ART0345,DataRobot,"February 26, 2022",2022,1,2,300000000.0,$300.0M
ART0346,DataRobot,22 Nov 2022,2022,4,11,295000000.0,$295.0M
ART0347,Databricks,24 Dec 2021,2021,4,12,1180000000.0,$1.180B
ART0350,Scale AI,18 Oct 2023,2023,4,10,760000000.0,$0.760 billion
ART0351,Stripe,02/09/2023,2023,1,2,2300000000.0,$2.300B
ART0352,Databricks,04/14/2021,2021,2,4,900000000.0,"¥135,000,000,000"
ART0355,Stripe,2020-01-18,2020,1,1,720000000.0,720.0M USD
ART0357,Confluent,25 Mar 2023,2023,1,3,790000000.0,$790.0 million
ART0358,Microsoft,2022-11-24T00:00:00Z,2022,4,11,68500000000.0,$68500.0 million
ART0359,Scale AI,10 Jul 2022,2022,3,7,500000000.0,"$500,000,000"
ART0360,Tesla,25 Mar 2023,2023,1,3,82000000000.0,$77900.0M - $86100.0M
ART0363,SpaceX,2021-01-11,2021,1,1,3000000000.0,$3000.0 million
ART0364,Cloudflare,2020-04-20,2020,2,4,420000000.0,$0.420 billion
ART0365,Uber,04/14/2021,2021,2,4,14500000000.0,"$14,500,000,000"
ART0367,Palantir,"January 19, 2022",2022,1,1,1459999999.0,"€1,327,272,727"
ART0368,Cloudflare,"January 19, 2020",2020,1,1,390000000.0,$390.0M
ART0369,Amazon Web Services,"August 15, 2023",2023,3,8,92000000000.0,$87400.0M - $96600.0M
ART0370,Scale AI,25-12-2022,2022,4,12,570000000.0,$570.0M
ART0371,DataRobot,19-01-2021,2021,1,1,220000000.0,$0.220 billion
ART0373,Google DeepMind,24-04-2020,2020,2,4,120000000.0,$0.120 billion
ART0374,Uber,21 May 2021,2021,2,5,14500000000.0,"¥2,175,000,000,000"
ART0375,Amazon Web Services,27 Mar 2020,2020,1,3,38000000000.0,$38.000B
ART0376,Meta AI,"July 20, 2023",2023,3,7,1400000000.0,"£1,102,362,205"
ART0377,Cloudflare,05/06/2023,2023,2,5,1180000000.0,1180.0M USD
ART0378,Airbnb,11 Nov 2020,2020,4,11,3000000000.0,$2850.0M - $3150.0M
ART0380,Tesla,2021-01-17T00:00:00Z,2021,1,1,31000000000.0,$31.000B
ART0382,Uber,09 Dec 2022,2022,4,12,24999999999.0,"£19,685,039,370"
ART0383,Google DeepMind,09/22/2020,2020,3,9,145000000.0,"$145,000,000"
ART0384,MongoDB,2023-12-07T00:00:00Z,2023,4,12,1700000000.0,$1.700B
ART0385,Palantir,04-05-2020,2020,2,4,1030000000.0,$978.5M - $1081.5M
ART0386,Snowflake,2021-03-18T00:00:00Z,2021,1,3,1000000000.0,$950.0M - $1050.0M
ART0387,Elastic,"February 17, 2023",2023,1,2,1100000000.0,$1100.0 million
ART0389,Uber,04-06-2021,2021,2,4,14500000000.0,$14.500 billion
ART0390,OpenAI,03/30/2021,2021,1,3,130000000.0,"¥19,500,000,000"
ART0391,Confluent,22-04-2021,2021,2,4,455000000.0,"€413,636,364"
ART0392,Meta AI,08-08-2023,2023,3,8,1400000000.0,"£1,102,362,205"
ART0393,Scale AI,24 Jan 2020,2020,1,1,100000000.0,$95.0M - $105.0M
ART0394,Microsoft,11 Oct 2023,2023,4,10,78000000000.0,"£61,417,322,835"
ART0396,Elastic,"September 26, 2022",2022,3,9,1030000000.0,$1.030 billion
ART0397,Google DeepMind,"October 07, 2023",2023,4,10,900000000.0,900.0M USD
ART0398,Airbnb,2022-06-24T00:00:00Z,2022,2,6,5600000000.0,$5600.0 million
ART0399,NVIDIA,29-10-2020,2020,4,10,12600000000.0,"¥1,890,000,000,000"
ART0400,Tesla,2023-01-24T00:00:00Z,2023,1,1,82000000000.0,"£64,566,929,134"
ART0402,OpenAI,"August 22, 2023",2023,3,8,1720000000.0,$1720.0 million
ART0403,OpenAI,2021-05-21T00:00:00Z,2021,2,5,180000000.0,"€163,636,364"
ART0404,Databricks,05-07-2023,2023,2,5,2150000000.0,$2150.0 million
ART0406,Tesla,2020-10-10T00:00:00Z,2020,4,10,26000000000.0,26000.0M USD
ART0408,Microsoft,08/06/2020,2020,3,8,44500000000.0,44500.0M USD
ART0410,Anthropic,31-01-2020,2020,1,1,5000000.0,"¥750,000,000"
ART0411,NVIDIA,2022-04-09,2022,2,4,17800000000.0,"¥2,670,000,000,000"
ART0412,MongoDB,21 Mar 2022,2022,1,3,1080000000.0,"¥162,000,000,000"
ART0413,Palantir,15-05-2022,2022,2,5,1550000000.0,$1472.5M - $1627.5M
ART0416,Stripe,09/12/2023,2023,3,9,2950000000.0,$2.950 billion
ART0418,SpaceX,2020-06-11T00:00:00Z,2020,2,6,2100000000.0,$2100.0 million
ART0420,Confluent,"December 29, 2020",2020,4,12,339999999.0,"£267,716,535"
ART0421,Snowflake,2020-10-02,2020,4,10,850000000.0,"¥127,500,000,000"
ART0424,OpenAI,16 Feb 2021,2021,1,2,130000000.0,$123.5M - $136.5M
ART0427,Elastic,02/08/2020,2020,1,2,610000000.0,$610.0 million
ART0428,Scale AI,2020-12-05T00:00:00Z,2020,4,12,160000000.0,$0.160 billion
ART0429,Airbnb,09/11/2021,2021,3,9,4200000000.0,$4.200B
ART0430,MongoDB,24-01-2021,2021,1,1,720000000.0,$720.0M
ART0431,Anthropic,04 Mar 2022,2022,1,3,94999999.0,"€86,363,636"
ART0432,OpenAI,01 Oct 2021,2021,4,10,320000000.0,$304.0M - $336.0M
ART0433,Microsoft,2021-07-14,2021,3,7,55000000000.0,$52250.0M - $57750.0M
ART0435,Meta AI,2020-04-20,2020,2,4,145000000.0,$145.0M
ART0437,Airbnb,10 Jan 2021,2021,1,1,3400000000.0,"¥510,000,000,000"
ART0439,NVIDIA,2021-05-14T00:00:00Z,2021,2,5,15000000000.0,15000.0M USD
ART0441,Snowflake,2020-05-22T00:00:00Z,2020,2,5,620000000.0,"¥93,000,000,000"
ART0442,Tesla,04 Apr 2023,2023,2,4,89999999999.0,"£70,866,141,732"
ART0443,Stripe,13 Mar 2023,2023,1,3,2300000000.0,2300.0M USD
ART0445,Uber,13 Oct 2021,2021,4,10,17000000000.0,$17.000B
ART0446,SpaceX,13 Aug 2021,2021,3,8,3900000000.0,$3900.0 million
ART0452,Anthropic,20 Aug 2021,2021,3,8,45000000.0,$0.045 billion
ART0453,Databricks,2020-08-16T00:00:00Z,2020,3,8,500000000.0,$0.500 billion
ART0456,NVIDIA,31 Oct 2023,2023,4,10,45000000000.0,$45.000 billion
ART0457,Anthropic,24 Dec 2022,2022,4,12,250000000.0,$0.250 billion
ART0458,Uber,14 Oct 2023,2023,4,10,34000000000.0,"$34,000,000,000"
ART0459,Meta AI,02-07-2022,2022,1,2,700000000.0,700.0M USD
ART0460,DataRobot,06 Sep 2020,2020,3,9,170000000.0,$170.0M
ART0461,Google DeepMind,17-07-2022,2022,3,7,710000000.0,$710.0 million
ART0463,Microsoft,06/02/2022,2022,2,6,64000000000.0,$64.000B
ART0464,OpenAI,31 Oct 2020,2020,4,10,94999999.0,"€86,363,636"
ART0466,Stripe,"September 12, 2021",2021,3,9,1380000000.0,$1.380B
ART0468,Anthropic,21 Feb 2020,2020,1,2,5000000.0,"¥750,000,000"
ART0470,Microsoft,2023-09-01,2023,3,9,75800000000.0,$75800.0 million
ART0471,Palantir,2020-12-15T00:00:00Z,2020,4,12,1120000000.0,"£881,889,764"
ART0472,Meta AI,2023-03-25T00:00:00Z,2023,1,3,1200000000.0,"€1,090,909,091"
ART0473,Amazon Web Services,2022-01-27T00:00:00Z,2022,1,1,70000000000.0,70000.0M USD
ART0475,MongoDB,04/23/2022,2022,2,4,1180000000.0,"¥177,000,000,000"
ART0476,Airbnb,2020-01-10T00:00:00Z,2020,1,1,2600000000.0,$2470.0M - $2730.0M
ART0477,Databricks,2021-01-31,2021,1,1,740000000.0,"$740,000,000"
ART0479,Palantir,02-04-2023,2023,1,2,1799999999.0,"€1,636,363,636"
ART0480,Tesla,2021-03-27,2021,1,3,31000000000.0,31000.0M USD
ART0481,Palantir,01 Feb 2021,2021,1,2,1180000000.0,1180.0M USD
ART0482,Palantir,16-12-2020,2020,4,12,1120000000.0,$1.120B
ART0483,Confluent,05-08-2022,2022,2,5,654999999.0,"€595,454,545"
ART0485,Cloudflare,2020-06-19T00:00:00Z,2020,2,6,420000000.0,$420.0M
ART0487,Scale AI,12 Dec 2023,2023,4,12,760000000.0,$0.760 billion
ART0488,Confluent,2023-11-03,2023,4,11,980000000.0,$980.0M
ART0490,Tesla,06-04-2021,2021,2,6,38000000000.0,"$38,000,000,000"
ART0491,MongoDB,"September 08, 2020",2020,3,9,590000000.0,"¥88,500,000,000"
ART0492,Snowflake,08/11/2020,2020,3,8,730000000.0,$730.0M
