article_id,company_id,raw_revenue_string,published_date
ART0454,Anthropic,Not disclosed,06/21/2020
ART0455,Tesla,,2021-12-07
ART0462,Uber,Not disclosed,03-05-2020
ART0465,Cloudflare,,"June 12, 2022"
ART0467,Elastic,,25 Feb 2022
ART0469,Anthropic,Not disclosed,24-04-2020
ART0474,Cloudflare,,2020-01-14
ART0478,Databricks,Not disclosed,"June 17, 2023"
ART0484,Microsoft,,"January 11, 2020"
ART0486,Snowflake,,"December 11, 2023"
ART0489,Airbnb,Not disclosed,24 Dec 2020
ART0494,MongoDB,,"November 18, 2021"
ART0499,Palantir,Not disclosed,2023-11-12
ART0507,Anthropic,,15 Oct 2024
ART0509,Palantir,Not disclosed,2023-05-22T00:00:00Z
ART0527,Stripe,,06-11-2024
ART0529,Microsoft,,"January 10, 2023"
ART0535,Snowflake,,15 Mar 2023
ART0538,Google DeepMind,,04-01-2024
ART0543,Meta AI,Not disclosed,"June 01, 2024"
ART0557,OpenAI,Not disclosed,"June 11, 2024"
ART0583,NVIDIA,Not disclosed,15-08-2023
ART0596,Amazon Web Services,,06/17/2024
ART0601,Amazon Web Services,,07-08-2024
ART0613,NVIDIA,,"March 24, 2024"
ART0640,Tesla,Not disclosed,06 Feb 2023
ART0687,MongoDB,Not disclosed,02/10/2023
ART0699,DataRobot,,05-03-2024
ART0706,Databricks,,02-01-2024
ART0721,Meta AI,,2024-04-04
ART0723,Amazon Web Services,,06-08-2024
ART0725,Airbnb,Not disclosed,"April 08, 2024"
ART0742,Cloudflare,Not disclosed,2023-06-28
