article_id,title,company_name,published_date,category,revenue,summary,url,author,word_count,company_id,match_type,arr_usd,published_date_clean,year,quarter,month,category_standardized,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category,is_ai_related,top_similar_articles
ART0031,Meta AI CEO Discusses Future of AI,Meta AI,03/26/2023,Financial Technology,"€1,090,909,091",Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/31,John Smith,1852.0,Meta AI,exact,1200000000.0,2023-03-26,2023,1,3,Financial Technology,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium,False,"['ART0303', 'ART0040', 'ART0683']"
ART0032,DataRobot Acquires Competitor for Undisclosed Sum,DataRobot,2023-09-20,Finance,Not disclosed,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/32,Alex Johnson,1285.0,DataRobot,exact,,2023-09-20,2023,3,9,Financial Technology,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium,False,"['ART0594', 'ART0667', 'ART0460']"
ART0033,SpaceX Achieves Profitability Milestone,SpaceX,15 Feb 2022,Cloud,$5.000 billion,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,Jane Doe,2875.0,SpaceX,exact,5000000000.0,2022-02-15,2022,1,2,Cloud Computing,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,True,"['ART0060', 'ART0589', 'ART0452']"
ART0034,DataRobot Achieves Profitability Milestone,DataRobot,"October 21, 2021",Security,$275.0M,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/34,,1315.0,DataRobot,exact,275000000.0,2021-10-21,2021,4,10,Cyber Security,Cloud Computing,2012,"New York, NY",23471,True,,9,Medium,False,"['ART0699', 'ART0022', 'ART0460']"
ART0035,Microsoft Announces Breakthrough in Large Language Models,Microsoft,04/04/2020,InfoSec,,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/35,,2136.0,Microsoft,exact,,2020-04-04,2020,2,4,Cyber Security,Data Analytics,2018,"Austin, TX",48646,False,,2,Large,False,"['ART0354', 'ART0680', 'ART0030']"
ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,05 Sep 2023,AI/ML,$38475.0M - $42525.0M,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,John Smith,997.0,NVIDIA,exact,40500000000.0,2023-09-05,2023,3,9,Artificial Intelligence,AI/ML,2017,"London, UK",22031,False,,6,Medium,True,"['ART0214', 'ART0066', 'ART0456']"
ART0037,Palantir Launches New AI-Powered Product,Palantir,09 Aug 2022,SaaS,Not disclosed,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/37,,2635.0,Palantir,exact,,2022-08-09,2022,3,8,Software,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,False,"['ART0329', 'ART0016', 'ART0635']"
ART0038,Cloudflare Achieves Profitability Milestone,Cloudflare,04-05-2021,Security,"€563,636,364",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/38,,,Cloudflare,exact,620000000.0,2021-04-05,2021,2,4,Cyber Security,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,23,Small,False,"['ART0366', 'ART0377', 'ART0045']"
ART0039,Microsoft Reports Record Revenue Growth,Microsoft,23 Feb 2022,Cloud Computing,$57950.0M - $64050.0M,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/39,Sam Wilson,,Microsoft,exact,61000000000.0,2022-02-23,2022,1,2,Cloud Computing,Data Analytics,2018,"Austin, TX",48646,False,,4,Large,False,"['ART0522', 'ART0316', 'ART0080']"
ART0040,SpaceX CEO Discusses Future of AI,SpaceX,11 Apr 2023,AI/ML,$7.600 billion,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/40,Sam Wilson,2736.0,SpaceX,exact,7600000000.0,2023-04-11,2023,2,4,Artificial Intelligence,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,True,"['ART0303', 'ART0031', 'ART0363']"
ART0041,DataRobot Reports Record Revenue Growth,DataRobot,09/26/2022,Financial Technology,"£240,157,480",Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/41,Jane Doe,1022.0,DataRobot,exact,304999999.0,2022-09-26,2022,3,9,Financial Technology,Cloud Computing,2012,"New York, NY",23471,True,,10,Medium,False,"['ART0460', 'ART0032', 'ART0667']"
ART0042,DataRobot Releases Open Source Framework,DataRobot,"February 25, 2020",Enterprise Software,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/42,Jane Doe,,DataRobot,exact,,2020-02-25,2020,1,2,Software,Cloud Computing,2012,"New York, NY",23471,True,,8,Medium,False,"['ART0346', 'ART0137', 'ART0299']"
ART0043,Uber Acquires Competitor for Undisclosed Sum,Uber,"March 09, 2021",Data Analytics,Not disclosed,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/43,John Smith,2709.0,Uber,exact,,2021-03-09,2021,1,3,Data Analytics,FinTech,2015,"San Francisco, CA",10144,False,UBER,6,Medium,False,"['ART0151', 'ART0705', 'ART0225']"
ART0044,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,04 Apr 2021,Machine Learning,Not disclosed,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/44,,1017.0,Anthropic,exact,,2021-04-04,2021,2,4,Artificial Intelligence,FinTech,2006,"San Francisco, CA",43747,False,,15,Large,True,"['ART0444', 'ART0026', 'ART0631']"
ART0045,Cloudflare Achieves Profitability Milestone,Cloudflare,2020-08-22T00:00:00Z,Cloud Services,$455.0 million,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/45,John Smith,1777.0,Cloudflare,exact,455000000.0,2020-08-22,2020,3,8,Cloud Services,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,22,Small,False,"['ART0119', 'ART0498', 'ART0038']"
ART0046,Confluent Achieves Profitability Milestone,Confluent,"February 07, 2022",Cloud Services,$0.600 billion,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/46,,2818.0,Confluent,exact,600000000.0,2022-02-07,2022,1,2,Cloud Services,Cloud Computing,1995,"London, UK",3884,False,,27,Small,False,"['ART0123', 'ART0199', 'ART0615']"
ART0047,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,"December 27, 2022",Analytics,Not disclosed,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/47,John Smith,1983.0,Anthropic,exact,,2022-12-27,2022,4,12,Data Analytics,FinTech,2006,"San Francisco, CA",43747,False,,16,Large,False,"['ART0631', 'ART0026', 'ART0454']"
ART0048,Scale AI Partners with Major Enterprise Client,Scale AI,12/19/2023,Cybersecurity,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/48,,1820.0,Scale AI,exact,,2023-12-19,2023,4,12,Cyber Security,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,True,"['ART0487', 'ART0483', 'ART0241']"
ART0049,NVIDIA Raises Series D Funding Round,NVIDIA,"July 25, 2021",FinTech,"¥2,400,000,000,000",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/49,Jane Doe,1953.0,NVIDIA,exact,16000000000.0,2021-07-25,2021,3,7,Financial Technology,AI/ML,2017,"London, UK",22031,False,,4,Medium,True,"['ART0372', 'ART0129', 'ART0057']"
ART0050,Databricks Acquires Competitor for Undisclosed Sum,Databricks,2021-07-26T00:00:00Z,Financial Technology,Not disclosed,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/50,,2450.0,Databricks,exact,,2021-07-26,2021,3,7,Financial Technology,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,18,Medium,False,"['ART0478', 'ART0160', 'ART0325']"
ART0051,Scale AI Unveils Next-Generation Platform,Scale AI,"October 02, 2022",AI/ML,$0.570 billion,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/51,,2767.0,Scale AI,exact,570000000.0,2022-10-02,2022,4,10,Artificial Intelligence,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,True,"['ART0370', 'ART0217', 'ART0092']"
ART0052,MongoDB Acquires Competitor for Undisclosed Sum,MongoDB,21 May 2022,Software,Not disclosed,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/52,Jane Doe,1288.0,MongoDB,exact,,2022-05-21,2022,2,5,Software,SaaS,2008,"Austin, TX",16952,False,MONG,14,Medium,False,"['ART0494', 'ART0109', 'ART0275']"
ART0053,Stripe Raises Series D Funding Round,Stripe,02 Jan 2023,Cloud,2300.0M USD,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/53,,911.0,Stripe,exact,2300000000.0,2023-01-02,2023,1,1,Cloud Computing,Data Analytics,2002,"Seattle, WA",36348,True,STRI,21,Large,False,"['ART0202', 'ART0302', 'ART0351']"
ART0054,Tesla Expands into European Market,Tesla,10-04-2021,Cloud,"$54,000,000,000",Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/54,Alex Johnson,1017.0,Tesla,exact,54000000000.0,2021-10-04,2021,4,10,Cloud Computing,Cloud Computing,2008,"London, UK",5691,True,,13,Small,False,"['ART0234', 'ART0380', 'ART0707']"
ART0055,Scale AI Partners with Major Enterprise Client,Scale AI,2020-07-29,Enterprise Software,$135.0 million,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/55,Alex Johnson,2456.0,Scale AI,exact,135000000.0,2020-07-29,2020,3,7,Software,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium,True,"['ART0081', 'ART0217', 'ART0487']"
ART0056,Meta AI Raises Series D Funding Round,Meta AI,"March 31, 2022",Machine Learning,$700.0 million,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/56,Alex Johnson,,Meta AI,exact,700000000.0,2022-03-31,2022,1,3,Artificial Intelligence,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium,True,"['ART0620', 'ART0587', 'ART0068']"
ART0057,NVIDIA Raises Series D Funding Round,NVIDIA,"February 16, 2023",FinTech,Not disclosed,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/57,,,NVIDIA,exact,,2023-02-16,2023,1,2,Financial Technology,AI/ML,2017,"London, UK",22031,False,,6,Medium,True,"['ART0068', 'ART0087', 'ART0223']"
ART0058,Meta AI Reports Record Revenue Growth,Meta AI,07/05/2023,Financial Technology,$1330.0M - $1470.0M,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/58,Jane Doe,,Meta AI,exact,1400000000.0,2023-07-05,2023,3,7,Financial Technology,Data Analytics,2001,"Seattle, WA",20240,True,,22,Medium,False,"['ART0459', 'ART0559', 'ART0472']"
ART0059,Palantir Unveils Next-Generation Platform,Palantir,"May 01, 2023",Finance,$1.920B,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/59,,1310.0,Palantir,exact,1920000000.0,2023-05-01,2023,2,5,Financial Technology,Cloud Computing,2005,"Berlin, Germany",42306,True,,18,Large,False,"['ART0367', 'ART0277', 'ART0124']"
ART0060,SpaceX Raises Series D Funding Round,SpaceX,01/20/2023,Cloud Computing,$7000.0 million,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/60,,2831.0,SpaceX,exact,7000000000.0,2023-01-20,2023,1,1,Cloud Computing,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,True,"['ART0589', 'ART0457', 'ART0228']"
ART0061,Snowflake Partners with Major Enterprise Client,Snowflake,"September 11, 2020",Finance,730.0M USD,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/61,Sam Wilson,2972.0,Snowflake,exact,730000000.0,2020-09-11,2020,3,9,Financial Technology,Cloud Computing,2012,"London, UK",49545,True,,8,Large,False,"['ART0127', 'ART0421', 'ART0224']"
ART0062,Databricks Announces Breakthrough in Large Language Models,Databricks,07/06/2020,Enterprise Software,,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/62,Jane Doe,2285.0,Databricks,exact,,2020-07-06,2020,3,7,Software,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,17,Medium,False,"['ART0089', 'ART0404', 'ART0394']"
ART0063,Scale AI Partners with Major Enterprise Client,Scale AI,"July 05, 2020",Analytics,,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/63,,2753.0,Scale AI,exact,,2020-07-05,2020,3,7,Data Analytics,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium,True,"['ART0331', 'ART0273', 'ART0741']"
ART0064,Anthropic Partners with Major Enterprise Client,Anthropic,29-06-2020,Financial Technology,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/64,Jane Doe,2541.0,Anthropic,exact,,2020-06-29,2020,2,6,Financial Technology,FinTech,2006,"San Francisco, CA",43747,False,,14,Large,False,"['ART0164', 'ART0353', 'ART0431']"
ART0065,Scale AI Partners with Major Enterprise Client,Scale AI,04/15/2020,Financial Technology,,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/65,John Smith,2993.0,Scale AI,exact,,2020-04-15,2020,2,4,Financial Technology,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium,True,"['ART0458', 'ART0190', 'ART0079']"
ART0066,NVIDIA Unveils Next-Generation Platform,NVIDIA,20-11-2020,Software,$12.600B,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/66,John Smith,1130.0,NVIDIA,exact,12600000000.0,2020-11-20,2020,4,11,Software,AI/ML,2017,"London, UK",22031,False,,3,Medium,True,"['ART0399', 'ART0214', 'ART0036']"
ART0067,Cloudflare Unveils Next-Generation Platform,Cloudflare,2021-08-20T00:00:00Z,Financial Technology,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/67,Jane Doe,2581.0,Cloudflare,exact,,2021-08-20,2021,3,8,Financial Technology,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,23,Small,False,"['ART0368', 'ART0084', 'ART0229']"
ART0068,Microsoft Raises Series D Funding Round,Microsoft,"July 19, 2021",Data Analytics,$55.000 billion,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/68,,2505.0,Microsoft,exact,55000000000.0,2021-07-19,2021,3,7,Data Analytics,Data Analytics,2018,"Austin, TX",48646,False,,3,Large,False,"['ART0057', 'ART0056', 'ART0620']"
ART0069,Microsoft Partners with Major Enterprise Client,Microsoft,"January 08, 2023",Analytics,$71.000B,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/69,Jane Doe,1456.0,Microsoft,exact,71000000000.0,2023-01-08,2023,1,1,Data Analytics,Data Analytics,2018,"Austin, TX",48646,False,,5,Large,False,"['ART0164', 'ART0421', 'ART0127']"
ART0070,SpaceX Announces Breakthrough in Large Language Models,SpaceX,13 Oct 2021,InfoSec,$4300.0 million,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/70,,911.0,SpaceX,exact,4300000000.0,2021-10-13,2021,4,10,Cyber Security,AI/ML,2016,"Berlin, Germany",31018,False,,5,Large,True,"['ART0121', 'ART0680', 'ART0379']"
ART0071,Palantir Raises Series D Funding Round,Palantir,"December 13, 2022",AI/ML,"¥255,000,000,000",International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/71,Alex Johnson,2128.0,Palantir,exact,1700000000.0,2022-12-13,2022,4,12,Artificial Intelligence,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,True,"['ART0367', 'ART0457', 'ART0059']"
ART0072,Scale AI Raises Series D Funding Round,Scale AI,03 Nov 2021,Software,$340.0M,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/72,,1431.0,Scale AI,exact,340000000.0,2021-11-03,2021,4,11,Software,AI/ML,2003,"Berlin, Germany",23379,False,,18,Medium,True,"['ART0219', 'ART0001', 'ART0359']"
ART0073,Google DeepMind CEO Discusses Future of AI,Google DeepMind,20 Jul 2020,AI & ML,"$145,000,000",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/73,John Smith,2035.0,Google DeepMind,exact,145000000.0,2020-07-20,2020,3,7,Artificial Intelligence,Data Analytics,2017,"Austin, TX",24274,False,,3,Medium,True,"['ART0608', 'ART0622', 'ART0221']"
